table,column,sqlite_type,postgresql_type,shared
accounting_periods,id,TEXT,uuid,yes
accounting_periods,store_id,TEXT,uuid,yes
accounting_periods,period_year,INTEGER,integer,yes
accounting_periods,period_month,INTEGER,integer,yes
accounting_periods,starts_at,INTEGER,timestamptz,yes
accounting_periods,ends_at,INTEGER,timestamptz,yes
accounting_periods,status,TEXT,text,yes
accounting_periods,closed_at,INTEGER,timestamptz,yes
accounting_periods,device_id,TEXT,uuid,yes
accounting_periods,operation_id,TEXT,uuid,yes
accounting_periods,created_at,INTEGER,timestamptz,yes
accounting_periods,updated_at,INTEGER,timestamptz,yes
accounting_periods,version,INTEGER,bigint,yes
app_settings,store_id,TEXT,uuid,yes
app_settings,daily_report_time_minutes,INTEGER,integer,yes
app_settings,default_credit_policy,TEXT,text,yes
app_settings,default_credit_limit_minor,INTEGER,bigint,yes
app_settings,allow_negative_stock,INTEGER,boolean,yes
app_settings,low_stock_alert_enabled,INTEGER,boolean,yes
app_settings,debt_age_alert_days,INTEGER,integer,yes
app_settings,backup_enabled,INTEGER,boolean,yes
app_settings,backup_interval_hours,INTEGER,integer,yes
app_settings,export_directory_uri,TEXT,text,yes
app_settings,attachments_directory_uri,TEXT,text,yes
app_settings,created_at,INTEGER,timestamptz,yes
app_settings,updated_at,INTEGER,timestamptz,yes
app_settings,version,INTEGER,bigint,yes
attachments,id,TEXT,uuid,yes
attachments,store_id,TEXT,uuid,yes
attachments,entity_type,TEXT,text,yes
attachments,entity_id,TEXT,uuid,yes
attachments,kind,TEXT,text,yes
attachments,file_name,TEXT,text,yes
attachments,mime_type,TEXT,text,yes
attachments,local_uri,TEXT,text,yes
attachments,remote_key,TEXT,text,yes
attachments,file_size_bytes,INTEGER,bigint,yes
attachments,checksum_sha256,TEXT,text,yes
attachments,sync_status,TEXT,text,yes
attachments,created_at,INTEGER,timestamptz,yes
attachments,updated_at,INTEGER,timestamptz,yes
audit_logs,id,TEXT,uuid,yes
audit_logs,store_id,TEXT,uuid,yes
audit_logs,device_id,TEXT,uuid,yes
audit_logs,actor_type,TEXT,text,yes
audit_logs,action,TEXT,text,yes
audit_logs,entity_type,TEXT,text,yes
audit_logs,entity_id,TEXT,uuid,yes
audit_logs,old_values_json,TEXT,jsonb,yes
audit_logs,new_values_json,TEXT,jsonb,yes
audit_logs,reason,TEXT,text,yes
audit_logs,operation_id,TEXT,uuid,yes
audit_logs,occurred_at,INTEGER,timestamptz,yes
audit_logs,created_at,INTEGER,timestamptz,yes
backup_metadata,id,TEXT,uuid,yes
backup_metadata,store_id,TEXT,uuid,yes
backup_metadata,device_id,TEXT,uuid,yes
backup_metadata,backup_type,TEXT,text,yes
backup_metadata,local_uri,TEXT,text,yes
backup_metadata,remote_key,TEXT,text,yes
backup_metadata,schema_version,INTEGER,integer,yes
backup_metadata,file_size_bytes,INTEGER,bigint,yes
backup_metadata,checksum_sha256,TEXT,text,yes
backup_metadata,encryption_version,TEXT,text,yes
backup_metadata,status,TEXT,text,yes
backup_metadata,created_at,INTEGER,timestamptz,yes
backup_metadata,uploaded_at,INTEGER,timestamptz,yes
backup_metadata,last_verified_at,INTEGER,timestamptz,yes
backup_metadata,error_message,TEXT,text,yes
customer_ledger_entries,id,TEXT,uuid,yes
customer_ledger_entries,store_id,TEXT,uuid,yes
customer_ledger_entries,customer_id,TEXT,uuid,yes
customer_ledger_entries,accounting_period_id,TEXT,uuid,yes
